Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Spd of Max Gust (km/h)
2014-01-01,2014,1,1,-10.0,-14.0,-12.0,0.0,0.0,0.0,15,0.0
2014-01-02,2014,1,2,-16.5,-19.5,-18.0,0.0,0.6,0.4,14,0.0
2014-01-03,2014,1,3,-6.0,-25.0,-15.5,0.0,0.0,0.0,14,0.0
2014-01-04,2014,1,4,0.0,-15.5,-7.8,0.0,2.6,3.0,14,0.0
2014-01-05,2014,1,5,1.0,-3.5,-1.3,5.0,9.6,16.2,16,0.0
2014-01-06,2014,1,6,-5.0,-9.5,-7.3,0.0,0.0,0.0,22,0.0
2014-01-07,2014,1,7,-14.0,-24.5,-19.3,0.0,0.0,0.0,22,0.0
2014-01-08,2014,1,8,-8.0,-18.5,-13.3,0.0,0.0,0.0,22,0.0
2014-01-09,2014,1,9,-2.0,-16.5,-9.3,0.0,3.0,2.4,21,0.0
2014-01-10,2014,1,10,2.0,-12.0,-5.0,7.0,0.0,7.0,23,0.0
2014-01-11,2014,1,11,6.5,0.5,3.5,2.8,0.0,2.8,18,0.0
2014-01-12,2014,1,12,3.5,0.5,2.0,0.0,0.0,0.0,15,0.0
2014-01-13,2014,1,13,7.0,-4.0,1.5,0.0,0.0,0.0,13,0.0
2014-01-14,2014,1,14,4.5,1.0,2.8,0.0,0.0,0.0,9,0.0
2014-01-15,2014,1,15,0.0,-2.5,-1.3,0.0,0.0,0.0,9,0.0
2014-01-16,2014,1,16,0.0,-6.5,-3.3,0.0,6.0,3.8,9,0.0
2014-01-17,2014,1,17,3.0,-3.5,-0.3,0.0,2.4,1.2,13,0.0
2014-01-18,2014,1,18,-2.5,-6.0,-4.3,0.0,0.0,0.0,14,0.0
2014-01-19,2014,1,19,-2.5,-8.5,-5.5,0.0,1.2,1.2,13,0.0
2014-01-20,2014,1,20,-9.5,-11.5,-10.5,0.0,0.0,0.0,13,0.0
2014-01-21,2014,1,21,-15.0,-21.5,-18.3,0.0,0.0,0.0,13,0.0
2014-01-22,2014,1,22,-13.5,-25.0,-19.3,0.0,0.2,0.2,13,0.0
2014-01-23,2014,1,23,-14.0,-19.5,-16.8,0.0,0.0,0.0,12,0.0
2014-01-24,2014,1,24,-7.0,-20.0,-13.5,0.0,4.0,3.0,12,0.0
2014-01-25,2014,1,25,-3.5,-12.0,-7.8,0.0,0.6,0.4,15,0.0
2014-01-26,2014,1,26,-5.0,-17.0,-11.0,0.0,5.2,3.2,15,0.0
2014-01-27,2014,1,27,-10.0,-12.0,-11.0,0.0,0.0,0.0,20,0.0
2014-01-28,2014,1,28,-12.5,-20.0,-16.3,0.0,0.0,0.0,20,0.0
2014-01-29,2014,1,29,-9.0,-19.0,-14.0,0.0,0.0,0.0,20,0.0
2014-01-30,2014,1,30,-1.0,-15.0,-8.0,0.0,0.2,0.2,19,0.0
2014-01-31,2014,1,31,0.5,-5.5,-2.5,0.0,0.0,0.0,19,0.0
2014-02-01,2014,2,1,0.0,-7.5,-3.8,0.0,13.0,13.8,19,0.0
2014-02-02,2014,2,2,-1.5,-4.0,-2.8,0.0,0.0,0.0,30,0.0
2014-02-03,2014,2,3,-4.0,-12.0,-8.0,0.0,0.0,0.0,30,0.0
2014-02-04,2014,2,4,-4.0,-17.0,-10.5,0.0,7.2,4.0,28,0.0
2014-02-05,2014,2,5,-6.5,-8.5,-7.5,0.0,22.4,13.8,32,0.0
2014-02-06,2014,2,6,-8.0,-21.0,-14.5,0.0,0.0,0.0,50,0.0
2014-02-07,2014,2,7,-10.0,-13.0,-11.5,0.0,0.0,0.0,40,0.0
2014-02-08,2014,2,8,-8.5,-17.5,-13.0,0.0,0.0,0.0,38,0.0
2014-02-09,2014,2,9,-8.0,-18.0,-13.0,0.0,2.2,2.0,36,0.0
2014-02-10,2014,2,10,-7.0,-16.5,-11.8,0.0,0.0,0.0,37,0.0
2014-02-11,2014,2,11,-9.5,-13.0,-11.3,0.0,0.0,0.0,36,0.0
2014-02-12,2014,2,12,-5.0,-23.0,-14.0,0.0,0.0,0.0,35,0.0
2014-02-13,2014,2,13,-2.0,-17.0,-9.5,0.0,0.2,0.2,35,0.0
2014-02-14,2014,2,14,-0.5,-9.5,-5.0,0.0,0.0,0.0,33,0.0
2014-02-15,2014,2,15,-4.0,-9.0,-6.5,0.0,0.0,0.0,30,0.0
2014-02-16,2014,2,16,-8.0,-16.0,-12.0,0.0,1.0,0.4,30,0.0
2014-02-17,2014,2,17,-1.5,-20.5,-11.0,0.0,8.0,7.2,31,0.0
2014-02-18,2014,2,18,-0.5,-7.5,-4.0,0.0,2.2,0.8,39,0.0
2014-02-19,2014,2,19,5.5,-7.0,-0.8,0.2,0.0,0.2,35,0.0
2014-02-20,2014,2,20,4.0,-8.5,-2.3,12.0,5.0,17.6,34,0.0
2014-02-21,2014,2,21,5.0,0.0,2.5,1.0,0.0,1.0,32,0.0
2014-02-22,2014,2,22,2.5,-1.0,0.8,0.0,0.0,0.0,30,0.0
2014-02-23,2014,2,23,0.0,-5.5,-2.8,0.0,0.4,0.2,28,0.0
2014-02-24,2014,2,24,-6.0,-9.0,-7.5,0.0,0.0,0.0,27,0.0
2014-02-25,2014,2,25,-7.0,-13.0,-10.0,0.0,0.2,0.2,27,0.0
2014-02-26,2014,2,26,-10.0,-16.0,-13.0,0.0,0.0,0.0,27,0.0
2014-02-27,2014,2,27,-9.5,-14.0,-11.8,0.0,0.2,0.2,27,0.0
2014-02-28,2014,2,28,-6.0,-20.0,-13.0,0.0,0.0,0.0,27,0.0
2014-03-01,2014,3,1,-2.0,-13.0,-7.5,0.0,7.0,5.0,27,0.0
2014-03-02,2014,3,2,-9.5,-14.0,-11.8,0.0,0.0,0.0,31,0.0
2014-03-03,2014,3,3,-11.5,-20.0,-15.8,0.0,0.0,0.0,31,0.0
2014-03-04,2014,3,4,-8.5,-21.5,-15.0,0.0,3.2,1.2,31,0.0
2014-03-05,2014,3,5,-4.5,-17.5,-11.0,0.0,0.0,0.0,33,0.0
2014-03-06,2014,3,6,-2.0,-16.0,-9.0,0.0,0.6,0.2,33,0.0
2014-03-07,2014,3,7,4.0,-14.5,-5.3,0.0,0.0,0.0,31,0.0
2014-03-08,2014,3,8,0.5,-2.0,-0.8,0.0,0.0,0.0,30,0.0
2014-03-09,2014,3,9,1.0,-11.5,-5.3,0.0,0.0,0.0,27,0.0
2014-03-10,2014,3,10,7.0,-3.0,2.0,0.0,0.0,0.0,25,0.0
2014-03-11,2014,3,11,11.5,2.5,7.0,0.0,0.8,0.6,23,0.0
2014-03-12,2014,3,12,0.5,-8.5,-4.0,0.0,17.0,22.0,16,0.0
2014-03-13,2014,3,13,-1.5,-18.0,-9.8,0.0,0.0,0.0,34,0.0
2014-03-14,2014,3,14,11.0,-9.0,1.0,0.0,0.0,0.0,30,0.0
2014-03-15,2014,3,15,3.5,-2.0,0.8,0.0,0.0,0.0,16,0.0
2014-03-16,2014,3,16,-7.5,-14.0,-10.8,0.0,0.0,0.0,16,0.0
2014-03-17,2014,3,17,-4.0,-16.5,-10.3,0.0,0.0,0.0,16,0.0
2014-03-18,2014,3,18,2.0,-9.0,-3.5,0.0,0.0,0.0,15,0.0
